time,open,high,low,close,Volume
2024-09-14,873483547877,879143657209,858344203806,868798739284,85892027901.46078
2024-09-15,869093286468,875585540573,839151924819,845771994359,47999860869.00824
2024-09-16,845838209592,851731731397,824712440177,836726001337,88317311802.00949
2024-09-17,836598095275,863108826384,827984898218,848402519151,82656678792.51395
2024-09-18,848551477454,863504460519,829217431734,862337496058,101312326619.69788
2024-09-19,862530380984,896114436709,859097779561,885323136895,134114835087.38763
2024-09-20,885644889359,914959062738,876153269253,903145732676,120768827476.26862
2024-09-21,903776286532,924859939069,893535935679,920693535690,81113251664.4297
2024-09-22,920755421300,927486810211,891867116482,909654802927,66295733784.95741
2024-09-23,909829198336,941824416669,897316199137,925602055386,102104512243.86552
2024-09-24,925843042190,944717883861,911785079354,937403609198,97169312528.76302
2024-09-25,937165165293,947803589145,913664259320,920594444298,102892179353.99094
2024-09-26,920621762511,958154505877,911661246656,944747719653,100874437935.62923
2024-09-27,945150789538,977671659481,939672036036,963276979570,123820075582.05339
2024-09-28,963448607281,975256426835,945226403648,958285294349,97460849286.94589
2024-09-29,958369079151,971401673492,943657279927,957125604511,65840857967.72221
2024-09-30,957328180261,962559960696,922045099148,929654248477,102098159721.15102
2024-10-01,929363162355,953075884768,871728535091,888082085684,103335655400.18205
2024-10-02,888109586122,907950489719,858380204807,867057127345,168745200726.93143
2024-10-03,867429019545,881641277444,844513905868,861899445209,131252018765.89935
2024-10-04,861823871099,892546845428,857152277334,884877335404,104582511455.74046
2024-10-05,884917075199,892860390965,873031696905,883225901874,97379116345.69232
2024-10-06,883414258928,901358300496,878942537192,896064347694,49119087410.4554
2024-10-07,896210537762,921215658990,882308186589,888352425506,88517774649.92514
2024-10-08,886156560077,901475556319,874794039020,888731435797,106543860470.13991
2024-10-09,891104543589,905621131947,864899299600,871997176422,91908364314.9726
2024-10-10,872219413776,885715361530,855291611689,874001655807,94495214115.18379
2024-10-11,873943299826,903172642934,870622451271,894811045766,94164643650.88037
